year;company;cik;form_type;date_filed;url;document_url
2019;1347 Property Insurance Holdings, Inc.;1591890;10-K;20/03/2019;;https://www.sec.gov/Archives/edgar/data/1591890/000149315219003648/form10-k.htm
2019;1ST CONSTITUTION BANCORP;1141807;10-K;15/03/2019;;https://www.sec.gov/Archives/edgar/data/1141807/000114180719000008/fccy-20181231x10k.htm
2019;1ST SOURCE CORP;34782;10-K;22/02/2019;;https://www.sec.gov/Archives/edgar/data/34782/000003478219000039/sce-20181231x10k.htm
2019;1st FRANKLIN FINANCIAL CORP;38723;10-K;29/03/2019;;https://www.sec.gov/Archives/edgar/data/38723/000137647419000061/ff_10k.htm
2019;22nd Century Group, Inc.;1347858;10-K;06/03/2019;;https://www.sec.gov/Archives/edgar/data/1347858/000114420419012540/tv512599_10k.htm
2019;2U, Inc.;1459417;10-K;26/02/2019;;https://www.sec.gov/Archives/edgar/data/1459417/000110465919010491/a19-30045_410k.htm
2019;3D SYSTEMS CORP;910638;10-K;28/02/2019;;https://www.sec.gov/Archives/edgar/data/910638/000091063819000004/ddd2018-12x31form10xk.htm
2019;3M CO;66740;10-K;07/02/2019;;https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/mmm-20181231x10k.htm
2019;3PEA INTERNATIONAL, INC.;1496443;10-K;12/03/2019;;https://www.sec.gov/Archives/edgar/data/1496443/000168316819000607/tpea_10k-123118.htm
2019;5BARz International, Inc.;1454124;10-K;26/02/2019;;https://www.sec.gov/Archives/edgar/data/1454124/000101738619000056/barz_2017dec31-comp10k.htm
2019;A. H. Belo Corp;1413898;10-K;14/03/2019;;https://www.sec.gov/Archives/edgar/data/1413898/000141389819000008/ahc-20181231x10k.htm
2019;A10 Networks, Inc.;https://www.sec.gov/Archives/edgar/data/1580808/0001628280-19-003017.txt;10-K;18/03/2019;;https://www.sec.gov/Archives/edgar/data/1580808/0001628280-19-003017.txt
2019;AAC Holdings, Inc. NT;1606180;10-K;19/03/2019;;https://www.sec.gov/Archives/edgar/data/1606180/000156459019011552/aac-10k_20181231.htm
2019;AAON INC;824142;10-K;28/02/2019;;https://www.sec.gov/Archives/edgar/data/824142/000082414219000040/aaon2018annualreport.htm
2019;AARON'S INC;706688;10-K;14/02/2019;;https://www.sec.gov/Archives/edgar/data/706688/000070668819000026/a10k4q2018.htm
2019;ABBOTT LABORATORIES;1800;10-K;22/02/2019;;https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/a2237733z10-k.htm
2019;ABEONA THERAPEUTICS INC.;318306;10-K;18/03/2019;;https://www.sec.gov/Archives/edgar/data/318306/000114420419014623/tv515695-10k.htm
2019;ABRAXAS PETROLEUM CORP;867665;10-K;15/03/2019;;https://www.sec.gov/Archives/edgar/data/867665/000143774919005085/axas20181119_10k.htm
2019;ABV CONSULTING, INC.;1607450;10-K;27/03/2019;;https://www.sec.gov/Archives/edgar/data/1607450/000164033419000439/abvn_10k.htm
2019;ACACIA RESEARCH CORP;934549;10-K;15/03/2019;;https://www.sec.gov/Archives/edgar/data/934549/000093454919000017/actg2018123110-k.htm
2019;ACADIA PHARMACEUTICALS INC;1070494;10-K;27/02/2019;;https://www.sec.gov/Archives/edgar/data/1070494/000156459019004596/acad-10k_20181231.htm
2019;ACADIA REALTY TRUST;899629;10-K;19/02/2019;;https://www.sec.gov/Archives/edgar/data/899629/000156459019003257/akr-10k_20181231.htm
2019;ACCELERON PHARMA INC;1280600;10-K;27/02/2019;;https://www.sec.gov/Archives/edgar/data/1280600/000128060019000012/xlrn-20181231x10k.htm
2019;ACCESS-POWER INC;1041588;10-K;08/01/2019;;https://www.sec.gov/Archives/edgar/data/1041588/000104158819000001/accr12311810K.htm
2019;ACCO BRANDS Corp;712034;10-K;27/02/2019;;https://www.sec.gov/Archives/edgar/data/712034/000071203419000013/acco-2018xq410k.htm
2019;ACELRX PHARMACEUTICALS INC;1427925;10-K;07/03/2019;;https://www.sec.gov/Archives/edgar/data/1427925/000143774919004353/acrx20181231_10k.htm
2019;ACHIEVE LIFE SCIENCES, INC.;949858;10-K;14/03/2019;;https://www.sec.gov/Archives/edgar/data/949858/000156459019007838/achv-10k_20181231.htm
2019;ACHILLION PHARMACEUTICALS INC;1070336;10-K;07/03/2019;;https://www.sec.gov/Archives/edgar/data/1070336/000119312519067172/d678011d10k.htm
2019;ACI WORLDWIDE, INC.;935036;10-K;01/03/2019;;https://www.sec.gov/Archives/edgar/data/935036/000119312519058622/d675313d10k.htm
2019;ACM Research, Inc.;1680062;10-K;14/03/2019;;https://www.sec.gov/Archives/edgar/data/1680062/000165495419002737/acm_10k.htm
2019;ACME UNITED CORP;2098;10-K;15/03/2019;;https://www.sec.gov/Archives/edgar/data/2098/000102660819000011/acu_10k123118.htm
2019;ACNB CORP;715579;10-K;08/03/2019;;https://www.sec.gov/Archives/edgar/data/715579/000104746919001018/a2237934z10-k.htm
2019;ACORDA THERAPEUTICS INC;1008848;10-K;27/02/2019;;https://www.sec.gov/Archives/edgar/data/1008848/000156459019004986/acor-10k_20181231.htm
2019;ACORN ENERGY, INC.;880984;10-K;27/03/2019;;https://www.sec.gov/Archives/edgar/data/880984/000149315219003972/form10-k.htm
2019;ACQUIRED SALES CORP;1391135;10-K;13/03/2019;;https://www.sec.gov/Archives/edgar/data/1391135/000144586619000245/aqsp_10k.htm
2019;ADAMS RESOURCES & ENERGY, INC.;2178;10-K;11/03/2019;;https://www.sec.gov/Archives/edgar/data/2178/000000217819000011/ae-20181231.htm
2019;ADESTO TECHNOLOGIES Corp;1395848;10-K;18/03/2019;;https://www.sec.gov/Archives/edgar/data/1395848/000155837019002243/iots-20181231x10k.htm
