year;company;cik;form_type;date_filed;document_url
2020;10x Genomics, Inc.;1770787;10-K;27/02/2020;https://www.sec.gov/Archives/edgar/data/1770787/000119312520052640/d849320d10k.htm
2020;12 Retech Corp NT;1627611;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1627611/000149315220011425/form10-k.htm
2020;1347 Property Insurance Holdings, Inc.;1591890;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1591890/000149315220005206/form10-k.htm
2020;1847 Holdings LLC;1599407;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1599407/000121390020007912/f10k2019_1847holdingsllc.htm
2020;1895 Bancorp of Wisconsin, Inc.;1751692;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1751692/000156459020014188/bcow-10k_20191231.htm
2020;1Life Healthcare Inc;1404123;10-K;27/03/2020;https://www.sec.gov/Archives/edgar/data/1404123/000156459020013666/onem-10k_20191231.htm
2020;1ST CONSTITUTION BANCORP;1141807;10-K;16/03/2020;https://www.sec.gov/Archives/edgar/data/1141807/000114180720000005/fccy-2019123110k.htm
2020;1ST SOURCE CORP;34782;10-K;20/02/2020;https://www.sec.gov/Archives/edgar/data/34782/000003478220000035/sce-20191231x10k.htm
2020;1st FRANKLIN FINANCIAL CORP;38723;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/38723/000137647420000072/ff_10k.htm
2020;20/20 Global, Inc.;1763329;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1763329/000144586620000291/twgl-20191231.htm
2020;22nd Century Group, Inc.;1347858;10-K;11/03/2020;https://www.sec.gov/Archives/edgar/data/1347858/000110465920031934/tm205319-1_10k.htm
2020;24/7 Kid Doc, Inc. NT;1094032;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1094032/000173112220000429/e1870_10k.htm
2020;2U, Inc.;1459417;10-K;28/02/2020;https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/a2u201910-k.htm
2020;3D SYSTEMS CORP;910638;10-K;26/02/2020;https://www.sec.gov/Archives/edgar/data/910638/000091063820000010/ddd-20191231.htm
2020;3M CO;66740;10-K;06/02/2020;https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm
2020;89bio, Inc.;1785173;10-K;18/03/2020;https://www.sec.gov/Archives/edgar/data/1785173/000156459020011636/etnb-10k_20191231.htm
2020;A. M. Castle & Co.;18172;10-K;27/02/2020;https://www.sec.gov/Archives/edgar/data/18172/000001817220000014/ctam-20191231.htm
2020;A10 Networks, Inc.;1580808;10-K;10/03/2020;https://www.sec.gov/Archives/edgar/data/1580808/000158080820000014/a1231201910-k.htm
2020;AAON, INC.;824142;10-K;27/02/2020;https://www.sec.gov/Archives/edgar/data/824142/000082414220000025/aaon-20191231.htm
2020;AARON'S INC;706688;10-K;20/02/2020;https://www.sec.gov/Archives/edgar/data/706688/000070668820000012/a10k4q2019.htm
2020;AB Private Credit Investors Corp;1634452;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1634452/000119312520090592/d868081d10k.htm
2020;ABBOTT LABORATORIES;1800;10-K;21/02/2020;https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
2020;ABEONA THERAPEUTICS INC.;318306;10-K;16/03/2020;https://www.sec.gov/Archives/edgar/data/318306/000149315220004015/form10-k.htm
2020;ABERCROMBIE & FITCH CO /DE/;1018840;10-K;31/03/2020;https://www.sec.gov/Archives/edgar/data/1018840/000101884020000021/a201910-k.htm
2020;ABRAXAS PETROLEUM CORP NT;867665;10-K;16/03/2020;https://www.sec.gov/Archives/edgar/data/867665/000143774920013989/axas20191231_10k.htm
2020;ABV CONSULTING, INC. NT;1607450;10-K;31/03/2020;https://www.sec.gov/Archives/edgar/data/1607450/000164033420001510/abvn_10k.htm
2020;ACACIA RESEARCH CORP;934549;10-K;16/03/2020;https://www.sec.gov/Archives/edgar/data/934549/000168316820000836/acacia_10k-123119.htm
2020;ACADIA PHARMACEUTICALS INC;1070494;10-K;27/02/2020;https://www.sec.gov/Archives/edgar/data/1070494/000156459020006889/acad-10k_20191231.htm
2020;ACADIA REALTY TRUST;899629;10-K;21/02/2020;https://www.sec.gov/Archives/edgar/data/899629/000156459020005641/akr-10k_20191231.htm
2020;ACCELERON PHARMA INC;1280600;10-K;27/02/2020;https://www.sec.gov/Archives/edgar/data/1280600/000128060020000012/xlrn-20191231x10k.htm
2020;ACCESS-POWER INC;1041588;10-K;02/01/2020;https://www.sec.gov/Archives/edgar/data/1041588/000104158820000001/accr12311910K.htm
2020;ACCO BRANDS Corp;712034;10-K;27/02/2020;https://www.sec.gov/Archives/edgar/data/712034/000071203420000013/acco-2019xq410k.htm
2020;ACELRX PHARMACEUTICALS INC;1427925;10-K;16/03/2020;https://www.sec.gov/Archives/edgar/data/1427925/000143774920005304/acrx20191231_10k.htm
2020;ACHIEVE LIFE SCIENCES, INC.;949858;10-K;13/03/2020;https://www.sec.gov/Archives/edgar/data/949858/000156459020010642/achv-10k_20191231.htm
2020;ACI WORLDWIDE, INC.;935036;10-K;27/02/2020;https://www.sec.gov/Archives/edgar/data/935036/000093503620000009/aciw-20191231x10k.htm
2020;ACM Research, Inc.;1680062;10-K;24/03/2020;https://www.sec.gov/Archives/edgar/data/1680062/000114036120006743/form10k.htm
2020;ACME UNITED CORP;2098;10-K;13/03/2020;https://www.sec.gov/Archives/edgar/data/2098/000156459020010850/acu-10k_20191231.htm
2020;ACNB CORP;715579;10-K;06/03/2020;https://www.sec.gov/Archives/edgar/data/715579/000104746920001268/a2240882z10-k.htm
2020;ACORDA THERAPEUTICS INC;1008848;10-K;28/02/2020;https://www.sec.gov/Archives/edgar/data/1008848/000156459020007789/acor-10k_20191231.htm
2020;ACORN ENERGY, INC.;880984;10-K;25/03/2020;https://www.sec.gov/Archives/edgar/data/880984/000149315220004708/form10-k.htm
2020;ACQUIRED SALES CORP;1391135;10-K;30/03/2020;https://www.sec.gov/Archives/edgar/data/1391135/000144586620000276/aqsp_10k.htm
2020;ACRO BIOMEDICAL CO., LTD.;1622996;10-K;07/01/2020;https://www.sec.gov/Archives/edgar/data/1622996/000164033420000007/acbm_10k.htm
2020;ACURA PHARMACEUTICALS, INC;786947;10-K;31/03/2020;https://www.sec.gov/Archives/edgar/data/786947/000110465920040632/tm205365d1_10k.htm
2020;ACURA PHARMACEUTICALS, INC NT;786947;10-K;31/03/2020;https://www.sec.gov/Archives/edgar/data/786947/000110465920040632/tm205365d1_10k.htm
2020;ADAMS RESOURCES & ENERGY, INC.;2178;10-K;06/03/2020;https://www.sec.gov/Archives/edgar/data/2178/000000217820000013/ae-20191231.htm
2020;ADESTO TECHNOLOGIES Corp;1395848;10-K;16/03/2020;https://www.sec.gov/Archives/edgar/data/1395848/000155837020002795/iots-20191231x10k.htm
2020;ADIAL PHARMACEUTICALS, INC.;1513525;10-K;20/03/2020;https://www.sec.gov/Archives/edgar/data/1513525/000121390020007020/f10k2019_adialpharma.htm
2020;ADMA BIOLOGICS, INC.;1368514;10-K;13/03/2020;https://www.sec.gov/Archives/edgar/data/1368514/000119380520000348/e619435_10k-adma.htm
2020;ADOBE INC.;796343;10-K;21/01/2020;https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm
2020;ADOMANI, INC.;1563568;10-K;10/03/2020;https://www.sec.gov/Archives/edgar/data/1563568/000156459020009553/adom-10k_20191231.htm
2020;ADT Inc.;1703056;10-K;10/03/2020;https://www.sec.gov/Archives/edgar/data/1703056/000170305620000013/adtinc10-k12x31x2019cl.htm
