year,company,cik,form_type,date_filed,url,document_url
2024,"10x Genomics, Inc.",1770787,10-K,2024-02-15,https://www.sec.gov/Archives/edgar/data/1770787/0001770787-24-000017.txt,https://www.sec.gov/Archives/edgar/data/1770787/000177078724000017/txg-20231231.htm
2024,180 Life Sciences Corp.,1690080,10-K,2024-03-25,https://www.sec.gov/Archives/edgar/data/1690080/0001213900-24-025262.txt,https://www.sec.gov/Archives/edgar/data/1690080/000121390024025262/ea0200233-10k_180lif.htm
2024,"1895 Bancorp of Wisconsin, Inc. /MD/",1847360,10-K,2024-03-29,https://www.sec.gov/Archives/edgar/data/1847360/0000950170-24-038577.txt,https://www.sec.gov/Archives/edgar/data/1847360/000095017024038577/bcow-20231231.htm
2024,1ST SOURCE CORP,34782,10-K,2024-02-20,https://www.sec.gov/Archives/edgar/data/34782/0000034782-24-000033.txt,https://www.sec.gov/Archives/edgar/data/34782/000003478224000033/source-20231231.htm
2024,"1stdibs.com, Inc.",1600641,10-K,2024-02-29,https://www.sec.gov/Archives/edgar/data/1600641/0001600641-24-000022.txt,https://www.sec.gov/Archives/edgar/data/1600641/000160064124000022/dibs-20231231.htm
2024,"22nd Century Group, Inc.",1347858,10-K,2024-03-28,https://www.sec.gov/Archives/edgar/data/1347858/0001558370-24-004163.txt,https://www.sec.gov/Archives/edgar/data/1347858/000155837024004163/xxii-20231231x10k.htm
2024,"26North BDC, Inc.",1950976,10-K,2024-03-08,https://www.sec.gov/Archives/edgar/data/1950976/0001193125-24-063364.txt,https://www.sec.gov/Archives/edgar/data/1950976/000119312524063364/d640554d10k.htm
2024,"2U, Inc.",1459417,10-K,2024-03-06,https://www.sec.gov/Archives/edgar/data/1459417/0001459417-24-000011.txt,https://www.sec.gov/Archives/edgar/data/1459417/000145941724000011/twou-20231231.htm
2024,"2seventy bio, Inc.",1860782,10-K,2024-03-07,https://www.sec.gov/Archives/edgar/data/1860782/0001860782-24-000027.txt,https://www.sec.gov/Archives/edgar/data/1860782/000186078224000027/tsvt-20231231.htm
2024,3650R 2021-PF1 Commercial Mortgage Trust,1890702,10-K,2024-03-13,https://www.sec.gov/Archives/edgar/data/1890702/0001888524-24-003227.txt,https://www.sec.gov/Archives/edgar/data/1890702/000188852424003227/tsf21pf1_10k-2023.htm
