Year,company,Item_1,Item_1A,Item_7,Item_8
2020,3M CO,✓,,✓,✓
2020,"ALASKA AIR GROUP, INC.",✓,,,✓
2020,ALIGN TECHNOLOGY INC,,,,✓
2020,ALLIANCE DATA SYSTEMS CORP,,,✓,
2020,American Airlines Group Inc.,,,,✓
2020,CHURCH & DWIGHT CO INC /DE/,✓,✓,✓,✓
2020,COMCAST CORP,,,,✓
2020,CONOCOPHILLIPS,,,✓,✓
2020,DEXCOM INC,,,,✓
2020,DTE ENERGY CO,✓,,,
2020,EDISON INTERNATIONAL,✓,✓,✓,✓
2020,ELI LILLY & Co,,,✓,
2020,ENTERGY CORP /DE/,✓,✓,,
2020,"Expedia Group, Inc.",,,,✓
2020,"HARLEY-DAVIDSON, INC.",,,,✓
2020,JOHNSON & JOHNSON,,,✓,
2020,LAS VEGAS SANDS CORP,✓,✓,,✓
2020,LINCOLN NATIONAL CORP,,,✓,✓
2020,"Lumen Technologies, Inc.",,,,✓
2020,MOHAWK INDUSTRIES INC,,,,✓
2020,"Macy's, Inc.",,,✓,✓
2020,NEWMONT Corp /DE/,,,✓,
2020,"NRG ENERGY, INC.",✓,✓,,✓
2020,PERKINELMER INC,,,,✓
2020,PULTEGROUP INC/MI/,✓,,,
2020,Public Storage,,,,✓
2020,REGENCY CENTERS CORP,,,,✓
2020,ROLLINS INC,,✓,,
2020,"SALESFORCE.COM, INC.",,,,✓
2020,"ServiceNow, Inc.",,,,✓
2020,TRACTOR SUPPLY CO /DE/,✓,✓,,✓
2020,UNITEDHEALTH GROUP INC,,,,✓
2020,"Verisk Analytics, Inc.",,,,✓
2020,ViacomCBS Inc.,,,✓,
2020,WEYERHAEUSER CO,✓,,,
2020,XCEL ENERGY INC,✓,✓,,✓
2020,CARMAX INC,,,,✓
2020,DXC Technology Co,,,✓,
2020,CARDINAL HEALTH INC,✓,✓,✓,✓
2020,FEDEX CORP,,,✓,
2020,RESMED INC,,,,✓
2020,EMERSON ELECTRIC CO,✓,✓,,✓
