Year,company,Item_1,Item_1A,Item_7,Item_8
2018,3M CO,✓,,✓,✓
2018,ABBOTT LABORATORIES,✓,✓,,
2018,ADOBE INC.,✓,✓,,
2018,ADVANCE AUTO PARTS INC,✓,,✓,
2018,ADVANCED MICRO DEVICES INC,✓,,,
2018,"AFFILIATED MANAGERS GROUP, INC.",✓,✓,✓,
2018,AKAMAI TECHNOLOGIES INC,✓,✓,,
2018,"ALASKA AIR GROUP, INC.",✓,,,✓
2018,ALBEMARLE CORP,✓,✓,,
2018,ALEXANDRIA REAL ESTATE EQUITIES INC,✓,✓,,
2018,"ALEXION PHARMACEUTICALS, INC.",✓,,,
2018,ALIGN TECHNOLOGY INC,,,,✓
2018,ALLIANCE DATA SYSTEMS CORP,✓,✓,✓,
2018,ALLIANT ENERGY CORP,✓,,,
2018,"ALTRIA GROUP, INC.",✓,✓,✓,
2018,AMAZON COM INC,✓,,,
2018,AMEREN CORP,✓,,,
2018,AMERICAN TOWER CORP /MA/,✓,✓,,
2018,AMETEK INC/,✓,,,
2018,AMGEN INC,✓,,,
2018,AMPHENOL CORP /DE/,✓,,,
2018,ANADARKO PETROLEUM CORP,✓,,,
2018,ANSYS INC,✓,,,
2018,APARTMENT INVESTMENT & MANAGEMENT CO,✓,✓,,
2018,ARCHER DANIELS MIDLAND CO,✓,✓,,
2018,AT&T INC.,,,,✓
2018,AVALONBAY COMMUNITIES INC,✓,✓,,
2018,AbbVie Inc.,✓,,,
2018,"Activision Blizzard, Inc.",✓,✓,,
2018,Allegion plc,✓,,,
2018,Alphabet Inc.,✓,✓,✓,✓
2018,American Airlines Group Inc.,✓,✓,,✓
2018,"American Water Works Company, Inc.",✓,,,
2018,"Anthem, Inc.",✓,,,
2018,Aptiv PLC,✓,✓,,
2018,"Arista Networks, Inc.",✓,,,
2018,BALL Corp,✓,✓,,
2018,BAXTER INTERNATIONAL INC,✓,✓,✓,✓
2018,BEST BUY CO INC,✓,✓,,
2018,BIOGEN INC.,✓,,,
2018,BOSTON PROPERTIES INC,,✓,,
2018,BRISTOL MYERS SQUIBB CO,✓,,,
2018,Baker Hughes a GE Co,✓,,,
2018,Booking Holdings Inc.,✓,✓,,
2018,C H ROBINSON WORLDWIDE INC,✓,,,
2018,CABOT OIL & GAS CORP,✓,,,
