Company;;ISIN;SIC Industry Name;SIC Industry Code;Update Date;ESG Score;;;;;;;;;;;;
3M Company;MMM;US88579Y1010;Surgical and Medical Instruments and Apparatus;3841;31/12/2023;88,78609872;;;;;;;;;;;;
3M Company;MMM;NULL;NULL;NULL;31/12/2022;91,16350718;;;;;;;;;;;;
3M Company;MMM;NULL;NULL;NULL;31/12/2021;89,65348738;;;;;;;;;;;;
3M Company;MMM;NULL;NULL;NULL;31/12/2020;93,41534306;;;;;;;;;;;;
3M Company;MMM;NULL;NULL;NULL;31/12/2019;89,86245578;;;;;;;;;;;;
3M Company;MMM;NULL;NULL;NULL;31/12/2018;87,98548585;;;;;;;;;;;;
Abbott Laboratories;ABT;US0028241000;Pharmaceutical Preparations;2834;31/12/2023;84,04233761;;;;;;;;;;;;
Abbott Laboratories;ABT;NULL;NULL;NULL;31/12/2022;83,20799421;;;;;;;;;;;;
Abbott Laboratories;ABT;NULL;NULL;NULL;31/12/2021;80,59835441;;;;;;;;;;;;
Abbott Laboratories;ABT;NULL;NULL;NULL;31/12/2020;80,53158578;;;;;;;;;;;;
Abbott Laboratories;ABT;NULL;NULL;NULL;31/12/2019;80,11438955;;;;;;;;;;;;
Abbott Laboratories;ABT;NULL;NULL;NULL;31/12/2018;78,76163704;;;;;;;;;;;;
AbbVie Inc.;ABBV.K;US00287Y1091;Pharmaceutical Preparations;2834;31/12/2023;70,92262243;;;;;;;;;;;;
AbbVie Inc.;ABBV.K;NULL;NULL;NULL;31/12/2022;72,8166338;;;;;;;;;;;;
AbbVie Inc.;ABBV.K;NULL;NULL;NULL;31/12/2021;81,19781354;;;;;;;;;;;;
AbbVie Inc.;ABBV.K;NULL;NULL;NULL;31/12/2020;80,83417673;;;;;;;;;;;;
AbbVie Inc.;ABBV.K;NULL;NULL;NULL;31/12/2019;75,65340444;;;;;;;;;;;;
AbbVie Inc.;ABBV.K;NULL;NULL;NULL;31/12/2018;76,12447878;;;;;;;;;;;;
Accenture plc;ACN;IE00B4BNMY34;Business Services, Not Elsewhere Classified;7389;31/12/2023;80,61929385;;;;;;;;;;;;
Accenture plc;ACN;NULL;NULL;NULL;31/12/2022;80,90105418;;;;;;;;;;;;
Accenture plc;ACN;NULL;NULL;NULL;31/12/2021;82,35444115;;;;;;;;;;;;
Accenture plc;ACN;NULL;NULL;NULL;31/12/2020;80,77067629;;;;;;;;;;;;
Accenture plc;ACN;NULL;NULL;NULL;31/12/2019;80,87007589;;;;;;;;;;;;
Accenture plc;ACN;NULL;NULL;NULL;31/12/2018;81,15931732;;;;;;;;;;;;
Adobe Inc.;ADBE.O;US00724F1012;Prepackaged Software;7372;31/12/2023;68,35359121;;;;;;;;;;;;
Adobe Inc.;ADBE.O;NULL;NULL;NULL;31/12/2022;70,71853362;;;;;;;;;;;;
Adobe Inc.;ADBE.O;NULL;NULL;NULL;31/12/2021;75,69107649;;;;;;;;;;;;
Adobe Inc.;ADBE.O;NULL;NULL;NULL;31/12/2020;74,6996422;;;;;;;;;;;;
Adobe Inc.;ADBE.O;NULL;NULL;NULL;31/12/2019;66,0528141;;;;;;;;;;;;
Adobe Inc.;ADBE.O;NULL;NULL;NULL;31/12/2018;78,88540097;;;;;;;;;;;;
Advance Auto Parts, Inc.;AAP;US00751Y1064;Auto and Home Supply Stores;5531;31/12/2023;62,07474696;;;;;;;;;;;;
Advance Auto Parts, Inc.;AAP;NULL;NULL;NULL;31/12/2022;62,39192877;;;;;;;;;;;;
Advance Auto Parts, Inc.;AAP;NULL;NULL;NULL;31/12/2021;55,37479415;;;;;;;;;;;;
Advance Auto Parts, Inc.;AAP;NULL;NULL;NULL;31/12/2020;42,87213546;;;;;;;;;;;;
Advance Auto Parts, Inc.;AAP;NULL;NULL;NULL;31/12/2019;62,66326244;;;;;;;;;;;;
Advance Auto Parts, Inc.;AAP;NULL;NULL;NULL;31/12/2018;54,90462966;;;;;;;;;;;;
Advanced Micro Devices, Inc.;AMD.O;US0079031078;Semiconductors and Related Devices;3674;31/12/2023;70,24703573;;;;;;;;;;;;
Advanced Micro Devices, Inc.;AMD.O;NULL;NULL;NULL;31/12/2022;67,94292807;;;;;;;;;;;;
Advanced Micro Devices, Inc.;AMD.O;NULL;NULL;NULL;31/12/2021;71,16501784;;;;;;;;;;;;
Advanced Micro Devices, Inc.;AMD.O;NULL;NULL;NULL;31/12/2020;65,86050283;;;;;;;;;;;;
Advanced Micro Devices, Inc.;AMD.O;NULL;NULL;NULL;31/12/2019;67,66667045;;;;;;;;;;;;
Advanced Micro Devices, Inc.;AMD.O;NULL;NULL;NULL;31/12/2018;69,68639706;;;;;;;;;;;;
The AES Corporation;AES;US00130H1059;NULL;4911;31/12/2023;74,78919302;;;;;;;;;;;;
The AES Corporation;AES;NULL;NULL;NULL;31/12/2022;72,28815735;;;;;;;;;;;;
The AES Corporation;AES;NULL;NULL;NULL;31/12/2021;73,17865841;;;;;;;;;;;;
The AES Corporation;AES;NULL;NULL;NULL;31/12/2020;71,19791082;;;;;;;;;;;;
The AES Corporation;AES;NULL;NULL;NULL;31/12/2019;70,99323408;;;;;;;;;;;;
The AES Corporation;AES;NULL;NULL;NULL;31/12/2018;65,55398868;;;;;;;;;;;;
Agilent Technologies, Inc.;A;US00846U1016;Laboratory Analytical Instruments;3826;31/12/2023;80,01329246;;;;;;;;;;;;
Agilent Technologies, Inc.;A;NULL;NULL;NULL;31/12/2022;81,88710923;;;;;;;;;;;;
Agilent Technologies, Inc.;A;NULL;NULL;NULL;31/12/2021;87,80760049;;;;;;;;;;;;
Agilent Technologies, Inc.;A;NULL;NULL;NULL;31/12/2020;86,98716205;;;;;;;;;;;;
Agilent Technologies, Inc.;A;NULL;NULL;NULL;31/12/2019;87,9035667;;;;;;;;;;;;
Agilent Technologies, Inc.;A;NULL;NULL;NULL;31/12/2018;87,90711563;;;;;;;;;;;;
Air Products and Chemicals, Inc.;APD;US0091581068;NULL;2812;31/12/2023;78,16612874;;;;;;;;;;;;
Air Products and Chemicals, Inc.;APD;NULL;NULL;NULL;31/12/2022;81,78138228;;;;;;;;;;;;
Air Products and Chemicals, Inc.;APD;NULL;NULL;NULL;31/12/2021;84,01233226;;;;;;;;;;;;
