Company,Ticker,CIK,Sector
21st Century Fox,FOXA,,
3M,MMM,66740,Industrials
A. O. Smith,AOS,91142,Industrials
AES Corporation,AES,874761,Utilities
APA Corporation,APA,1841666,Energy
AT&T,T,732717,Communication Services
AbbVie,ABBV,1551152,Health Care
Abbott Laboratories,ABT,1800,Health Care
Abiomed,ABMD,815094,
Accenture,ACN,1467373,Information Technology
Activision Blizzard,ATVI,718877,
Acuity Brands,AYI,1144215,
Adobe Inc.,ADBE,796343,Information Technology
Advance Auto Parts,AAP,1158449
Advanced Micro Devices,AMD,2488,Information Technology
Aetna,AET,1013761,
Affiliated Managers Group,AMG,1004434,
Agilent Technologies,A,1090872,Health Care
Air Products,APD,2969,Materials
Akamai Technologies,AKAM,1086222,Information Technology
Alaska Air Group,ALK,766421,
Albemarle Corporation,ALB,915913,Materials
Alexandria Real Estate Equities,ARE,1035443,Real Estate
Alexion Pharmaceuticals,ALXN,899866,
Align Technology,ALGN,1097149,Health Care
Allegion,ALLE,1579241,Industrials
Allergan,AGN,850693,
Alliance Data Systems,ADS,1101215,
Alliant Energy,LNT,352541,Utilities
Alphabet Inc. (Class A),GOOGL,1652044,Communication Services
Alphabet Inc. (Class C),GOOG,1652044,Communication Services
Altria,MO,764180,Consumer Staples
Amazon,AMZN,1018724,Consumer Discretionary
Ameren,AEE,1002910,Utilities
American Airlines Group,AAL,6201,
American Electric Power,AEP,4904,Utilities
American Tower,AMT,1053507,Real Estate
American Water Works,AWK,1410636,Utilities
Ametek,AME,1037868,Industrials
Amgen,AMGN,318154,Health Care
Amphenol,APH,820313,Information Technology
Anadarko Petroleum,APC,773910,
Analog Devices,ADI,6281,Information Technology
Andeavor,ANDV,50104,
Ansys,ANSS,1013462,Information Technology
Apartment Investment & Management,AIV,922864,
Apple Inc.,AAPL,320193,Information Technology
Applied Materials,AMAT,6951,Information Technology
Aptiv,APTV,1521332,Consumer Discretionary
Archer Daniels Midland,ADM,7084,Consumer Staples
Arconic,ARNC,1790982,
Arista Networks,ANET,1596532,Information Technology
AutoZone,AZO,866787,Consumer Discretionary
Autodesk,ADSK,769397,Information Technology
Automatic Data Processing,ADP,8670,Industrials
AvalonBay Communities,AVB,915912,Real Estate
Avery Dennison,AVY,8818,Materials
"BXP, Inc.",BXP,1037540,Real Estate
Baker Hughes,BKR,1701605,Energy
Ball Corporation,BALL,9389,Materials
"Bath & Body Works, Inc.",BBWI,701985,
Baxter International,BAX,10456,Health Care
Becton Dickinson,BDX,10795,Health Care
Best Buy,BBY,764478,Consumer Discretionary
Biogen,BIIB,875045,Health Care
Boeing,BA,12927,Industrials
Booking Holdings,BKNG,1075531,Consumer Discretionary
Boston Scientific,BSX,885725,Health Care
Bristol Myers Squibb,BMY,14272,Health Care
Broadcom,AVGO,1730168,Information Technology
Broadridge Financial Solutions,BR,1383312,Industrials
Brown–Forman,BF.B,14693,Consumer Staples
C.H. Robinson,CHRW,1043277,Industrials
CA Technologies,CA,356028,
CBRE Group,CBRE,1138118,Real Estate
CF Industries,CF,1324404,Materials
CMS Energy,CMS,811156,Utilities
CR Bard,BCR,9892,
CSRA,CSRA,1646383,
CSX Corporation,CSX,277948,Industrials
CVS Health,CVS,64803,Health Care
Cadence Design Systems,CDNS,813672,Information Technology
Campbell's Company (The),CPB,16732,Consumer Staples
Capri Holdings,CPRI,1530721,
CarMax,KMX,1170010,Consumer Discretionary
Cardinal Health,CAH,721371,Health Care
Carnival,CCL,815097,Consumer Discretionary
Carrier Global,CARR,1783180,Industrials
Caterpillar Inc.,CAT,18230,Industrials
Celanese,CE,1306830,
Celgene,CELG,816284,
Cencora,COR,1140859,Health Care
Centene Corporation,CNC,1071739,Health Care
CenterPoint Energy,CNP,1130310,Utilities
Cerner,CERN,804753,
Charter Communications,CHTR,1091667,Communication Services
Chesapeake Energy,CHK,895126,
Chevron Corporation,CVX,93410,Energy
Chipotle Mexican Grill,CMG,1058090,Consumer Discretionary
Church & Dwight,CHD,313927,Consumer Staples
Cigna,CI,1739940,Health Care
Cimarex Energy,XEC,1168054,
Cintas,CTAS,723254,Industrials
Cisco,CSCO,858877,Information Technology
Citrix Systems,CTXS,877890,
Clorox,CLX,21076,Consumer Staples
Coca-Cola Company (The),KO,21344,Consumer Staples
Cognizant,CTSH,1058290,Information Technology
Colgate-Palmolive,CL,21665,Consumer Staples
Comcast,CMCSA,1166691,Communication Services
Conagra Brands,CAG,23217,Consumer Staples
Concho Resources,CXO,1358071,
ConocoPhillips,COP,1163165,Energy
Consolidated Edison,ED,1047862,Utilities
Constellation Brands,STZ,16918,Consumer Staples
Cooper Companies (The),COO,711404,Health Care
Copart,CPRT,900075,Industrials
Corning Inc.,GLW,24741,Information Technology
Costco,COST,909832,Consumer Staples
Coterra,CTRA,858470,Energy
Coty,COTY,1024305,
Crown Castle,CCI,1051470,Real Estate
Cummins,CMI,26172,Industrials
D. R. Horton,DHI,882184,Consumer Discretionary
DTE Energy,DTE,936340,Utilities
DXC Technology,DXC,1688568,
DaVita,DVA,927066,Health Care
Danaher Corporation,DHR,313616,Health Care
Darden Restaurants,DRI,940944,Consumer Discretionary
Dayforce,DAY,1725057,Industrials
Deere & Company,DE,315189,Industrials
Delta Air Lines,DAL,27904,Industrials
Dentsply Sirona,XRAY,818479,
Devon Energy,DVN,1090012,Energy
Diamondback Energy,FANG,1539838,Energy
Digital Realty,DLR,1297996,Real Estate
"Discovery, Inc.",DISCK,1437107,
Dish Network,DISH,920436,
Dollar General,DG,29534,Consumer Staples
Dollar Tree,DLTR,935703,Consumer Staples
Dominion Energy,D,715957,Utilities
Domino's,DPZ,1286681,Consumer Discretionary
DoorDash,DASH,1792789,Consumer Discretionary
Dover Corporation,DOV,29905,Industrials
Dow Inc.,DOW,1751788,Materials
Dr Pepper Snapple Group,DPS,1418135,
Duke Energy,DUK,1326160,Utilities
Duke Realty,DRE,1003410,
EOG Resources,EOG,821189,Energy
EQT Corporation,EQT,33213,Energy
Eastman Chemical Company,EMN,915389,Materials
Eaton Corporation,ETN,1551182,Industrials
Ecolab,ECL,31462,Materials
Edison International,EIX,827052,Utilities
Edwards Lifesciences,EW,1099800,Health Care
Electronic Arts,EA,712515,Communication Services
Elevance Health,ELV,1156039,Health Care
Emerson Electric,EMR,32604,Industrials
Entergy,ETR,65984,Utilities
Envision Healthcare,EVHC,1344154,
Equifax,EFX,33185,Industrials
