year,company,cik,form_type,date_filed,document_url
2020,3M CO,66740,10-K,06/02/2020,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm
2020,ABBOTT LABORATORIES,1800,10-K,21/02/2020,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
2020,ADOBE INC.,796343,10-K,21/01/2020,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm
2020,ADVANCE AUTO PARTS INC,1158449,10-K,18/02/2020,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/aap10k12282019secreport.htm
2020,ADVANCED MICRO DEVICES INC,2488,10-K,04/02/2020,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
2020,AES CORP,874761,10-K,28/02/2020,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/a2019form10-k.htm
2020,"AFFILIATED MANAGERS GROUP, INC.",1004434,10-K,28/02/2020,https://www.sec.gov/Archives/edgar/data/1004434/000100443420000011/amg10-k12312019.htm
2020,AKAMAI TECHNOLOGIES INC,1086222,10-K,28/02/2020,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/akam10k123119.htm
2020,"ALASKA AIR GROUP, INC.",766421,10-K,12/02/2020,https://www.sec.gov/Archives/edgar/data/766421/000076642120000013/alk-20191231.htm
2020,ALBEMARLE CORP,915913,10-K,26/02/2020,https://www.sec.gov/Archives/edgar/data/915913/000091591320000040/a1231201910-kdocument.htm
2020,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,10-K,04/02/2020,https://www.sec.gov/Archives/edgar/data/1035443/000103544320000042/a4q1910-k.htm
2020,"ALEXION PHARMACEUTICALS, INC.",899866,10-K,04/02/2020,https://www.sec.gov/Archives/edgar/data/899866/000089986620000012/alxn10k12312019.htm
2020,ALIGN TECHNOLOGY INC,1097149,10-K,28/02/2020,https://www.sec.gov/Archives/edgar/data/1097149/000109714920000008/algn-20191231x10k.htm
2020,ALLIANCE DATA SYSTEMS CORP,1101215,10-K,28/02/2020,https://www.sec.gov/Archives/edgar/data/1101215/000110121520000049/ads-20191231x10k.htm
2020,ALLIANT ENERGY CORP,352541,10-K,21/02/2020,https://www.sec.gov/Archives/edgar/data/352541/000035254120000021/lnt1231201910-k.htm
2020,"ALTRIA GROUP, INC.",764180,10-K,25/02/2020,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/a2019form10-kq4.htm
2020,AMAZON COM INC,1018724,10-K,31/01/2020,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/amzn-20191231x10k.htm
2020,AMEREN CORP,1002910,10-K,28/02/2020,https://www.sec.gov/Archives/edgar/data/1002910/000100291020000077/aee201910-k.htm
2020,AMERICAN ELECTRIC POWER CO INC,4904,10-K,20/02/2020,https://www.sec.gov/Archives/edgar/data/4904/000000490420000007/aep10klegal20194q.htm
2020,AMERICAN TOWER CORP /MA/,1053507,10-K,25/02/2020,https://www.sec.gov/Archives/edgar/data/1053507/000105350720000028/amt1231201910k.htm
2020,AMETEK INC/,1037868,10-K,20/02/2020,https://www.sec.gov/Archives/edgar/data/1037868/000119312520043133/d878806d10k.htm
2020,AMGEN INC,318154,10-K,12/02/2020,https://www.sec.gov/Archives/edgar/data/318154/000031815420000017/amgn-12312019x10kq42019.htm
