year,company,cik,form_type,date_filed,url,document_url
2021,3M CO,66740,10-K,2021-02-04,https://www.sec.gov/Archives/edgar/data/66740/0001558370-21-000737.txt,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/mmm-20201231x10k.htm
2021,ABBOTT LABORATORIES,1800,10-K,2021-02-19,https://www.sec.gov/Archives/edgar/data/1800/0001104659-21-025751.txt,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/abt-20201231x10k.htm
2021,ADOBE INC.,796343,10-K,2021-01-15,https://www.sec.gov/Archives/edgar/data/796343/0000796343-21-000004.txt,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/adbe-20201127.htm
2021,ADVANCE AUTO PARTS INC,1158449,10-K,2021-02-22,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-21-000036.txt,https://www.sec.gov/Archives/edgar/data/1158449/000115844921000036/aap-20210102.htm
2021,ADVANCED MICRO DEVICES INC,2488,10-K,2021-01-29,https://www.sec.gov/Archives/edgar/data/2488/0001628280-21-001185.txt,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm
2021,AES CORP,874761,10-K,2021-02-25,https://www.sec.gov/Archives/edgar/data/874761/0000874761-21-000015.txt,https://www.sec.gov/Archives/edgar/data/874761/000087476121000015/aes-20201231.htm
2021,AKAMAI TECHNOLOGIES INC,1086222,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/1086222/0001086222-21-000075.txt,https://www.sec.gov/Archives/edgar/data/1086222/000108622221000075/akam-20201231.htm
2021,"ALASKA AIR GROUP, INC.",766421,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/766421/0000766421-21-000018.txt,https://www.sec.gov/Archives/edgar/data/766421/000076642121000018/alk-20201231.htm
2021,ALBEMARLE CORP,915913,10-K,2021-02-19,https://www.sec.gov/Archives/edgar/data/915913/0000915913-21-000018.txt,https://www.sec.gov/Archives/edgar/data/915913/000091591321000018/alb-20201231.htm
2021,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,10-K,2021-02-01,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-21-000044.txt,https://www.sec.gov/Archives/edgar/data/1035443/000103544321000044/are-20201231.htm
