TICKER,Macro_Sector,Alpha,Beta_MktRF,Beta_SMB,Beta_HML,T_Alpha,T_Beta_MktRF,T_Beta_SMB,T_Beta_HML,P_Alpha,P_Beta_MktRF,P_Beta_SMB,P_Beta_HML,Beta_MktRF_Significant,Beta_SMB_Significant,Beta_HML_Significant,Alpha_Significant,Adj_R_squared,R_squared,Num_Obs
KO,Industrials,-0.0013808683394736085,0.6192602048332095,-0.5668141096832898,0.4163372385216677,-0.282849756007836,5.069804543926911,-3.408863658137575,3.769151745988709,0.7772920112289592,3.9822445084338724e-07,0.0006523407396209162,0.00016380328338450574,True,True,True,False,0.40931313999649765,0.43499517738795423,70
CDNS,Consumer,0.012187013387661283,1.1037772683512832,-0.12014755587135788,-0.7160776740786988,1.8438278849538148,9.427285584731763,-0.5703675854282052,-6.115035658684473,0.06520822749756709,4.208384956612884e-21,0.5684284099032978,9.653537510180973e-10,True,False,True,False,0.5890170536422238,0.6068858773969097,70
XRAY,Industrials,-0.016066584638757736,0.8095966605641487,0.2783481031266811,0.32848695559578506,-1.6503290967378865,6.0633730363028375,0.874264162114454,1.848707548771398,0.09887564423407239,1.3329601300974417e-09,0.3819744113389748,0.06450005308940535,True,False,False,False,0.29041338889717727,0.32126498068425646,70
CHTR,Industrials,-0.006470899954201544,0.949807973446923,0.3181647775955466,0.16194543218667884,-0.5994387363249095,4.418677499938855,0.7320487272495141,0.7030639864994334,0.5488803522009046,9.930670257593462e-06,0.46413882705146126,0.4820158743074273,True,False,False,False,0.268682665822778,0.3004790716565703,70
GM,Industrials,-0.002533627399187475,1.3000126817897335,0.6708712275923038,0.40307406094683107,-0.3169514952065475,7.901401022788569,1.8421889576784019,3.2809863923814646,0.7512804072817095,2.757857989494757e-15,0.06544751507979862,0.001034447348091142,True,False,True,False,0.5319848778942557,0.5523333614640706,70
HII,Industrials,-0.0023849494831071068,0.5158735606368904,0.32511307601276046,0.5159856447373894,-0.29222111933743683,2.6685331219469806,1.1885550355765375,3.1375644979556423,0.7701175651167711,0.007618326653621726,0.23461481066720757,0.001703577884827676,True,False,True,False,0.2263554231686824,0.25999214390047876,70
XYL,Industrials,-0.004324676986614668,1.0835095507045867,-0.21240269317422092,0.19830829157073104,-0.5199250280134454,10.114079025093307,-1.068789233049501,1.071386635639304,0.6031158304644378,4.784959883841345e-24,0.28516465201720875,0.28399561945565843,True,False,False,False,0.5104009036582187,0.53168782089047,70
APTV,Industrials,-0.014546880146461922,1.6726320481500194,0.7882455252374845,0.11949336195285083,-1.8029673295674284,7.475179914130462,2.7924767283927774,0.8606880288980405,0.07139334569513497,7.709829994561171e-14,0.00523062299087033,0.38940988808061583,True,True,False,False,0.596829601960452,0.6143587497013019,70
ABBV,Industrials,0.010311454593847535,0.5181059690667861,0.004874544906304887,0.3403320281432893,1.5775030718500616,3.305245424980746,0.019737825457248632,2.0609616344769033,0.11467981584034068,0.0009489326611791009,0.9842525162991975,0.03930670039100264,True,False,True,False,0.17172776483762264,0.20773960114903034,70
NCLH,Industrials,-0.013309373398824072,2.2107503353138367,1.0440131229134917,0.7957800050905647,-1.0663457010383781,6.206257519873676,2.093383111707143,2.2177964892313913,0.2862673976193685,5.426123733875605e-10,0.036314968773336766,0.026568711616222637,True,True,True,False,0.5307547313750796,0.551156699576163,70
ZTS,Industrials,0.00014219543343227522,0.8083126106202486,0.13272643908388035,-0.3425433723459267,0.02377379335458337,7.757428390981292,0.4673693515152012,-2.1986565129620446,0.9810330440134054,8.666878506918509e-15,0.6402356462873688,0.027902355314762935,True,False,True,False,0.3787644983132481,0.40577473751701987,70
PEP,Industrials,-0.0014158054858846884,0.5323213326663593,-0.40853208868944396,0.24686701247114456,-0.35053199039732336,5.188904921735692,-2.1110926855447927,2.5552912653195476,0.7259394863121549,2.1153436154170436e-07,0.034764346018705546,0.010609897514330079,True,True,True,False,0.33996624811961196,0.36866336776658537,70
