TICKER,Macro_Sector,Alpha,Beta_MktRF,Beta_SMB,Beta_HML,Beta_Overall_ESG_Exposure,Beta_Overall_ESG_Sentiment,T_Alpha,T_Beta_MktRF,T_Beta_SMB,T_Beta_HML,T_Beta_Overall_ESG_Exposure,T_Beta_Overall_ESG_Sentiment,P_Alpha,P_Beta_MktRF,P_Beta_SMB,P_Beta_HML,P_Beta_Overall_ESG_Exposure,P_Beta_Overall_ESG_Sentiment,Beta_MktRF_Significant,Beta_SMB_Significant,Beta_HML_Significant,Beta_Overall_ESG_Exposure_Significant,Beta_Overall_ESG_Sentiment_Significant,Alpha_Significant,Adj_R_squared,R_squared,Num_Obs
KO,Industrials,0.007939519295389727,0.6275471164725953,-0.5836334822831606,0.41951521743419934,0.04225200748389754,-0.09621119536769866,0.20906027827622878,5.279789142750743,-3.5329141358974736,3.548236355577638,0.886803497085858,-0.6562579531285393,0.8344011828405238,1.2933263506621745e-07,0.0004110059363267882,0.00038782003780084886,0.37518470450719876,0.5116581663556377,True,True,True,False,False,False,0.41776250772884904,0.4599536303571933,70
CDNS,Consumer,0.09380470017454472,1.1324617702547226,-0.13417806713942682,-0.7790225876591492,-3.1741887774044044,-0.14936260227950293,2.392480247028077,8.919626133879147,-0.6524992048232207,-6.079001341389767,-2.0485820232996486,-1.0461780463191903,0.016734928876772776,4.678649370500167e-19,0.514079185663064,1.2093334790544852e-09,0.0405030039642856,0.29547883683210563,True,False,True,True,False,True,0.6025323918248785,0.6313343924172786,70
XRAY,Industrials,-0.04316992113515176,0.7916212598980776,0.24501136730706885,0.3725185342620395,1.6711600702774787,-0.05989492855450829,-0.6809406823790761,6.401653938580871,0.74607462687063,1.8599745146957818,1.1403074614199442,-0.513652466654703,0.4959090247155784,1.537027346950409e-10,0.4556223357248127,0.06288913172786134,0.2541582303558867,0.6074949904528008,True,False,False,False,False,False,0.2894325557527928,0.34092295026346,70
CHTR,Industrials,-0.013505401873405785,0.9297221233307165,0.21586859105769604,0.3325050409522226,3.3068105676135553,-0.10931614521586096,-0.16947533660127284,4.532142917048073,0.48843682140685674,1.2786564218400387,1.5871959040523549,-0.6477075177343771,0.8654227702820092,5.838832318516176e-06,0.6252404659689184,0.2010180718566591,0.1124682821610606,0.5171741409676212,True,False,False,False,False,False,0.2762744443573788,0.32871832520104705,70
GM,Industrials,0.022757669625789675,1.276757688400653,0.6303363202226464,0.4697214012886818,-0.678238405217582,0.18908397650361475,0.2328299874505397,7.791777654240204,1.8145565771827699,3.3483113610073207,-0.9469257732657472,1.3009604521831473,0.8158934261349458,6.607293020012685e-15,0.06959208069417472,0.0008130561016933248,0.343676603685412,0.19327199196631206,True,False,True,False,False,False,0.531366632803165,0.5653255724551096,70
HII,Industrials,0.02260712636626486,0.5310539641691224,0.3205393846875089,0.4902436841818468,-0.18767956789922474,-0.03128028109603108,0.6183550234971287,2.8532552545350303,1.169574681014324,2.9107668607143493,-0.4846458874254551,-0.40437926728830315,0.5363413386659865,0.0043273846993249045,0.24217217131030444,0.0036054293210621992,0.6279275574298169,0.6859338437405962,True,False,True,False,False,False,0.2046975792646617,0.2623281894628746,70
XYL,Industrials,0.004341863642956479,1.091093210881433,-0.21898574451181135,0.18617735747782566,0.09436167922912471,-0.15457457430556582,0.10587820362173789,10.361000703802741,-1.1160777254312806,1.0492079426518124,0.18329236908192434,-0.6217320121049571,0.9156789878371053,3.730385726707315e-25,0.2643888658142417,0.2940824238617298,0.8545686215628401,0.5341180983337138,True,False,False,False,False,False,0.5043500067892299,0.5402666729639234,70
APTV,Industrials,-0.04781438637734012,1.637784572768857,0.7781975184562433,0.14725891037503896,0.1094022114750521,0.10438041321598522,-1.6561108466896082,6.873853706298319,2.903665150255066,0.9393090774614843,1.1928004397648455,1.1303903852581598,0.0976993731687922,6.249029466502869e-12,0.003688223917546648,0.3475720793563122,0.23294753784005606,0.25831176369460296,True,True,False,False,False,False,0.5917228676569838,0.6213081671021299,70
ABBV,Industrials,0.029115676727925453,0.5288563726054206,-0.011693060453775064,0.32842299360401933,0.8475578101410974,-0.07402572076234705,0.9478190997468874,3.326681574373774,-0.04851147642394108,1.8958569172153816,0.45464127622358497,-1.3361429575061916,0.34322155541976807,0.0008788674043943186,0.9613086183476787,0.05797896717699096,0.6493673345249462,0.1815025514245442,True,False,False,False,False,False,0.1610115416904393,0.22180780678533496,70
NCLH,Industrials,-0.032411369218936184,2.1539658202921905,1.0680030274385812,0.9118358189711327,1.137094276346086,-0.17829748885494148,-1.0813906737792633,6.091817051260799,2.1104178115618066,2.7033651180889553,1.6060825690445897,-0.8888648555953769,0.2795233684334929,1.11636223303191e-09,0.03482238360468843,0.006864130040827007,0.108255769235041,0.3740757151810019,True,True,True,False,False,False,0.5296914576054108,0.563771786764439,70
ZTS,Industrials,0.041409095484604315,0.7887245242115152,0.0821075997933028,-0.2848814182431176,0.0847891759675714,-0.10100063287999257,1.2677082497120418,7.562706480368758,0.28451634894440386,-1.7169794658470543,0.2091524695584772,-2.326656290344124,0.20490215762258213,3.9476774925628686e-14,0.776014706868928,0.0859829239224548,0.8343292155669,0.01998356598618744,True,False,False,False,True,False,0.4003505794598672,0.44380343602074634,70
PEP,Industrials,0.026034850362767446,0.5641939278236486,-0.45313207399194566,0.2449294587390184,0.35927092091944235,-0.28833165752369627,1.3161526984785779,5.639963860170951,-2.352994315619497,2.4770949773057604,1.6609448111624343,-3.442377847159665,0.1881227962668126,1.7008585899346162e-08,0.018622918776513363,0.013245664901907156,0.096724531288247,0.0005766242193117756,True,True,True,False,True,False,0.3811664308510311,0.42600944310820277,70
IQV,Consumer,-0.3206852863014266,1.3313478160093892,0.299595888016788,-0.003919506009386623,8.79856736478797,0.5343895652703722,-1.24913453572134,7.232350302007892,1.0024286055423446,-0.03150861849992216,1.0715716281173373,1.334465917257021,0.2116158708854584,4.747057895750955e-13,0.31613663214975785,0.9748639189898654,0.28391248243919276,0.18205120955322018,True,False,False,False,False,False,0.5783533323067336,0.6089074386613181,70
SLB,Energy & Utilities,-0.033061031379794194,1.4763660275740456,0.27697945925692286,1.71239225522227,-0.019063252755280848,0.13752592068870323,-0.6012493558126961,7.224483615210105,0.7884445204849752,5.905546165374316,-0.1032159949819961,0.7913832159277712,0.5476739155257161,5.030095034341199e-13,0.43043673812533767,3.5148033967304794e-09,0.9177915455535185,0.42872040122890576,True,False,True,False,False,False,0.6740251392676266,0.6976465059873638,70
HLT,Consumer,0.021042564564215074,1.1907927404159817,0.017198317311439212,0.4003792195564923,-0.47229456538692094,0.05842499519938127,0.9048249916994592,9.960540223823385,0.08740971511545836,2.9778270886206526,-0.7890568685790003,1.0424224145238932,0.3655581094672389,2.268267904767962e-23,0.9303458473922223,0.0029029970728262195,0.43007876936738865,0.29721587896035573,True,False,True,False,False,False,0.5553023343247181,0.5875268028519125,70
ANET,Industrials,0.05810815811205454,1.2563402849254548,-0.6760676344107398,-0.48409039563996226,-3.561758097897598,0.023091518514898685,1.9201441002883521,6.9467212044839135,-1.7136908400227466,-1.9880520742622214,-2.579652907856881,0.15501057527683643,0.05483970016803947,3.738735131320843e-12,0.08658552008174963,0.04680593101978456,0.009889966344863152,0.8768129802155388,True,False,True,True,False,False,0.3090784601308145,0.3591452383822048,70
LW,Industrials,-0.048161084815990095,0.7149740880137724,0.18706547467514806,0.25893073970676017,0.47189840785183984,0.04147419613748416,-0.5505584541800255,2.886141954503319,0.3729221457075822,1.0758272228474373,0.42648088530052464,0.4880002570655227,0.5819363955567234,0.0038999621028901962,0.7092063891578678,0.2820045349355136,0.6697574734783796,0.6255496589875118,True,False,False,False,False,False,0.13345330628153107,0.1962465449567824,70
ABT,Industrials,0.006665575347464158,0.7377713423784058,-0.2661804943885896,0.049886007710163875,1.5505622491470499,-0.10338723500470827,0.14298732215248747,6.4934592378826075,-1.2527028789849761,0.3707515567328528,1.9084015489453938,-0.9266976988191751,0.8863001937623356,8.38874713194478e-11,0.21031385784809964,0.7108225859077876,0.056339336814404825,0.35408351265828975,True,False,False,False,False,False,0.38201820996809177,0.4267994991008387,70
EXC,Energy & Utilities,-0.008933424163800587,0.5588264361502113,-0.45708285562212814,0.46377962117427923,0.11294381046493515,-0.11247970326596614,-0.19625144037974904,4.810653626402475,-2.0375585937013727,4.3021083794855075,0.8568590735552969,-0.863061999057935,0.8444133671944789,1.5043752292883137e-06,0.04159409652854761,1.6918051790295515e-05,0.391522773457159,0.3881033799310505,True,True,True,False,False,False,0.26032253872294076,0.3139223547575103,70
JNJ,Industrials,-0.003412250320285424,0.554813576236105,-0.24695881182354887,0.2081657506426389,2.0548051681585244,-0.10243343900113554,-0.27793138147847246,5.338948909879712,-1.3175148668176966,1.9712838069686465,1.3926490568050354,-2.055141236130763,0.7810650336326028,9.348698164333511e-08,0.18766610108294934,0.04869142249523128,0.16372594065465218,0.03986536501836223,True,False,True,False,True,False,0.3070533930544207,0.35726691529685395,70
