year,company,cik,SIC,Item_1_ESG_Exposure,Item_1_ESG_Sentiment,Item_1A_ESG_Exposure,Item_1A_ESG_Sentiment,Item_7_ESG_Exposure,Item_7_ESG_Sentiment,Item_8_ESG_Exposure,Item_8_ESG_Sentiment,Overall_ESG_Exposure,Overall_ESG_Sentiment,cik_str
2018,ABBOTT LABORATORIES,1800,2834,0.0614035087719298,0.4392658386911665,0.0155038759689922,0.9702709913253784,0.0157480314960629,0.2892626440152526,0.0201729106628242,0.203037215662854,0.0282070817249523,0.4754591724236629,0000001800
2019,ABBOTT LABORATORIES,1800,2834,0.0795454545454545,0.4082406127736682,0.0293040293040293,0.9707229360938072,0.0160818713450292,0.3110158189453862,0.0219324244220509,0.2701816675630775,0.036715944904141,0.4900402588439848,0000001800
2020,ABBOTT LABORATORIES,1800,2834,0.0658682634730539,0.4445678835565393,0.0294117647058823,0.9393352336353726,0.0165745856353591,0.4313613540596432,0.0184294871794871,0.4231233530394409,0.0325710252484456,0.5595969560727491,0000001800
2021,ABBOTT LABORATORIES,1800,2834,0.0,0.0,0.0282392026578073,0.6413629931562087,0.0152740341419586,0.4957973729161655,0.0171990171990172,0.4128927059826396,0.0151780634996957,0.3875132680137535,0000001800
2022,ABBOTT LABORATORIES,1800,2834,0.0536912751677852,0.2937177121639251,0.025,0.9483488649129868,0.0137931034482758,0.5866939624150594,0.0156950672645739,0.3305863301668848,0.0270448614701587,0.5398367174147141,0000001800
2023,ABBOTT LABORATORIES,1800,2834,0.0533333333333333,0.2937177121639251,0.032258064516129,0.9426079511642456,0.0133928571428571,0.607135092218717,0.0104602510460251,0.4278491109609604,0.0273611265095861,0.567827466626962,0000001800
2018,AMERICAN ELECTRIC POWER CO INC,4904,4911,0.5368421052631579,0.0343611629959804,0.4351145038167939,0.5072799210452981,0.1785714285714285,0.6484298199415207,0.0,0.0,0.2876320094128451,0.2975177259956998,0000004904
2019,AMERICAN ELECTRIC POWER CO INC,4904,4911,0.5376532399299475,0.0392440407800849,0.4237918215613382,0.5102053952092925,0.2,0.5335049989322821,0.0,0.0,0.2903612653728214,0.2707386087304149,0000004904
2020,AMERICAN ELECTRIC POWER CO INC,4904,4911,0.4310897435897436,0.0151409221446093,0.3231292517006803,0.5251391432983311,0.3241106719367589,0.5260702273013388,0.1684625492772667,0.212500548800933,0.3116980541261124,0.319712710386303,0000004904
2021,AMERICAN ELECTRIC POWER CO INC,4904,4911,0.4094955489614243,0.0118627004541348,0.288961038961039,0.5451990029868785,0.2804428044280442,0.5513032055705002,0.1658128875707737,0.2234033656314136,0.2861780699803203,0.3329420686607318,0000004904
2022,AMERICAN ELECTRIC POWER CO INC,4904,4911,0.3926470588235294,0.006525606307644,0.3212121212121212,0.5325283810215177,0.0,0.0,0.1436062246278755,0.1934881514273979,0.2143663511658815,0.1831355346891399,0000004904
2023,AMERICAN ELECTRIC POWER CO INC,4904,4911,0.357421875,0.0845024569743806,0.3272727272727272,0.5357927361444111,0.0,0.0,0.1452537693777872,0.1690396461281816,0.2074870929126286,0.1973337098117433,0000004904
2018,AUTOMATIC DATA PROCESSING INC,8670,7374,0.0263157894736842,0.1842805941899617,0.009090909090909,0.9637859463691713,0.0235294117647058,0.0438593827188015,0.0,0.0,0.0147340275823247,0.2979814808194835,0000008670
2019,AUTOMATIC DATA PROCESSING INC,8670,7374,0.024,0.1842805941899617,0.0172413793103448,0.975718915462494,0.0151975683890577,0.3744000315666199,0.0,0.0,0.0141097369248506,0.3835998853047688,0000008670
2020,AUTOMATIC DATA PROCESSING INC,8670,7374,0.0066666666666666,0.3735085092484951,0.0245901639344262,0.6631579169382652,0.01,0.2462236930926641,0.0,0.0,0.0103142076502732,0.3207225298198561,0000008670
2021,AUTOMATIC DATA PROCESSING INC,8670,7374,0.0069686411149825,0.3824034482240677,0.0229007633587786,0.6631735929598411,0.010204081632653,0.2236308107773462,0.0,0.0,0.0100183715266035,0.3173019629903138,0000008670
2022,AUTOMATIC DATA PROCESSING INC,8670,7374,0.0098360655737704,0.1442832152048746,0.02,0.6508761464307705,0.0179856115107913,0.1491816155612468,0.0014619883040935,0.619606077671051,0.0123209163471638,0.3909867637169857,0000008670
2023,AUTOMATIC DATA PROCESSING INC,8670,7374,0.0095541401273885,0.1347874402999878,0.0128205128205128,0.483925043605268,0.0180505415162454,0.1491816155612468,0.0015015015015015,0.5666324496269226,0.010481673991412,0.3336316372733563,0000008670
2018,BRISTOL MYERS SQUIBB CO,14272,2834,0.0263157894736842,0.1174601465463638,0.0410958904109589,0.4317530053667724,0.0231522707034728,0.4712804104559697,0.0168625447112927,0.5173416342021842,0.0268566238248521,0.3844587991428225,0000014272
2019,BRISTOL MYERS SQUIBB CO,14272,2834,0.0077041602465331,0.066325956583023,0.059620596205962,0.4923630795356902,0.02152190622598,0.4298991487760629,0.0179856115107913,0.4322538322769105,0.0267080685473166,0.3552105042929216,0000014272
2020,BRISTOL MYERS SQUIBB CO,14272,2834,0.02,0.0498612113296985,0.046979865771812,0.5545893178454467,0.0220537560303239,0.4307391986949369,0.0178794178794178,0.380235092064669,0.0267282599203884,0.3538562049836878,0000014272
2021,BRISTOL MYERS SQUIBB CO,14272,2834,0.0,0.0,0.0432098765432098,0.5556212104856968,0.0182063385030343,0.4862234639348807,0.0154408776919951,0.4194357530458977,0.0192142731845598,0.3653201068666187,0000014272
2022,BRISTOL MYERS SQUIBB CO,14272,2834,0.0252252252252252,0.481338641207133,0.0210970464135021,0.8618244171142578,0.005607476635514,0.2427853407959143,0.0102974828375286,0.3712304681539535,0.0155568077779424,0.4892947168178147,0000014272
2023,BRISTOL MYERS SQUIBB CO,14272,2834,0.025735294117647,0.481338641207133,0.0342205323193916,0.6560750109040074,0.003683241252302,0.126652181148529,0.011441647597254,0.3314199440181255,0.0187701788216486,0.3988714443194487,0000014272
2018,"Lumen Technologies, Inc.",18926,4813,0.0238907849829351,0.6488716006278992,0.0,0.0,0.009090909090909,0.5525268495082856,0.0,0.0,0.008245423518461,0.3003496125340462,0000018926
2019,"Lumen Technologies, Inc.",18926,4813,0.0352112676056338,0.4762829601764679,0.0,0.0,0.0,0.0,0.0,0.0,0.0088028169014084,0.1190707400441169,0000018926
2020,"Lumen Technologies, Inc.",18926,4813,0.0,0.0,0.0514705882352941,0.734502945627485,0.0,0.0,0.0,0.0,0.0128676470588235,0.1836257364068712,0000018926
2021,"Lumen Technologies, Inc.",18926,4813,0.0,0.0,0.0445859872611464,0.7228311896324158,0.0,0.0,0.0,0.0,0.0111464968152866,0.1807077974081039,0000018926
2022,"Lumen Technologies, Inc.",18926,4813,0.0756013745704467,0.28745884956284,0.0519877675840978,0.7060881353476468,0.0048780487804878,0.4364074915647506,0.0,0.0,0.0331167977337581,0.3574886191188093,0000018926
2023,"Lumen Technologies, Inc.",18926,4813,0.0798611111111111,0.2853826303844866,0.044776119402985,0.7548035534719626,0.0100755667506297,0.4464677385985851,0.0163098878695209,0.4655190482735634,0.0377556712835617,0.4880432426821494,0000018926
2018,COCA COLA CO,21344,2086,0.1657754010695187,0.0953041840224496,0.1650485436893204,0.6564418352848175,1.0,-0.1096964329481124,0.032258064516129,-0.1096964329481124,0.340770502318742,0.1330882883527605,0000021344
2019,COCA COLA CO,21344,2086,0.15625,0.142707896605134,0.1974921630094044,0.6661689173252809,1.0,-0.1096964329481124,0.0,0.0,0.3384355407523511,0.1747950952455756,0000021344
2020,COCA COLA CO,21344,2086,0.0772532188841201,0.2710616861780484,0.1566951566951566,0.7026071570136331,1.0,-0.1096963733434677,0.0,0.0,0.3084870938948192,0.2159931174620534,0000021344
2021,COCA COLA CO,21344,2840,0.0909090909090909,0.2219625134021043,0.1615598885793872,0.7100803972189796,1.0,-0.1096963733434677,0.0,0.0,0.3131172448721195,0.205586634319404,0000021344
2022,COCA COLA CO,21344,2840,0.1158301158301158,0.2862400878841678,0.1633802816901408,0.7421457903652355,0.0299850074962518,-0.1244742147624492,0.0064516129032258,0.0125808662601879,0.0789117544799336,0.2291231324367855,0000021344
2023,COCA COLA CO,21344,2840,0.1226765799256505,0.3243657066627885,0.168091168091168,0.7018691038681288,0.0331125827814569,-0.0345809787511825,0.0068159688412852,0.0244492303047861,0.0826740749098902,0.2540257655211302,0000021344
2018,CUMMINS INC,26172,3519,0.3736654804270463,-0.1812232981657698,0.1948717948717948,0.4912004604151374,0.0724137931034482,-0.2975763942868936,0.0551431601272534,-0.0343929999866164,0.1740235571323857,-0.0054980580060356,0000026172
2019,CUMMINS INC,26172,3519,0.3333333333333333,-0.483063280582428,0.2037914691943128,0.4923533643054407,0.0927419354838709,-0.1094277315651593,0.0542553191489361,-0.00233477299266,0.1710305142901133,-0.0256181052087016,0000026172
2020,CUMMINS INC,26172,3519,0.1818181818181818,-0.1533972537145018,0.1853448275862069,0.5221142821707004,0.040650406504065,0.0643383344635367,0.0277777777777777,0.0146826216578483,0.1088977984215578,0.1119344961443959,0000026172
2021,CUMMINS INC,26172,3519,0.0,0.0,0.1759259259259259,0.4992104383479607,0.0338600451467268,-0.2197485362490018,0.026602176541717,0.0668899093500592,0.0590970369035924,0.0865879528622545,0000026172
2022,CUMMINS INC,26172,3519,0.2735294117647059,-0.1343845104177793,0.1825396825396825,0.5103341213063054,0.0427184466019417,-0.2604706334796818,0.030398322851153,-0.0884164959706109,0.1322964659393708,0.0067656203595583,0000026172
